"id","code_naf","name","section_no","section_description"
"fr_naf_001","0111Z","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","1","Culture et production animale, chasse et services annexes"
"fr_naf_002","0112Z","Culture du riz","1","Culture et production animale, chasse et services annexes"
"fr_naf_003","0113Z","Culture de légumes, de melons, de racines et de tubercules","1","Culture et production animale, chasse et services annexes"
"fr_naf_004","0114Z","Culture de la canne à sucre","1","Culture et production animale, chasse et services annexes"
"fr_naf_005","0115Z","Culture du tabac","1","Culture et production animale, chasse et services annexes"
"fr_naf_006","0116Z","Culture de plantes à fibres","1","Culture et production animale, chasse et services annexes"
"fr_naf_007","0119Z","Autres cultures non permanentes","1","Culture et production animale, chasse et services annexes"
"fr_naf_008","0121Z","Culture de la vigne","1","Culture et production animale, chasse et services annexes"
"fr_naf_009","0122Z","Culture de fruits tropicaux et subtropicaux","1","Culture et production animale, chasse et services annexes"
"fr_naf_010","0123Z","Culture d'agrumes","1","Culture et production animale, chasse et services annexes"
"fr_naf_011","0124Z","Culture de fruits à pépins et à noyau","1","Culture et production animale, chasse et services annexes"
"fr_naf_012","0125Z","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque","1","Culture et production animale, chasse et services annexes"
"fr_naf_013","0126Z","Culture de fruits oléagineux","1","Culture et production animale, chasse et services annexes"
"fr_naf_014","0127Z","Culture de plantes à boissons","1","Culture et production animale, chasse et services annexes"
"fr_naf_015","0128Z","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","1","Culture et production animale, chasse et services annexes"
"fr_naf_016","0129Z","Autres cultures permanentes","1","Culture et production animale, chasse et services annexes"
"fr_naf_017","0130Z","Reproduction de plantes","1","Culture et production animale, chasse et services annexes"
"fr_naf_018","0141Z","Élevage de vaches laitières","1","Culture et production animale, chasse et services annexes"
"fr_naf_019","0142Z","Élevage d'autres bovins et de buffles","1","Culture et production animale, chasse et services annexes"
"fr_naf_020","0143Z","Élevage de chevaux et d'autres équidés","1","Culture et production animale, chasse et services annexes"
"fr_naf_021","0144Z","Élevage de chameaux et d'autres camélidés","1","Culture et production animale, chasse et services annexes"
"fr_naf_022","0145Z","Élevage d'ovins et de caprins","1","Culture et production animale, chasse et services annexes"
"fr_naf_023","0146Z","Élevage de porcins","1","Culture et production animale, chasse et services annexes"
"fr_naf_024","0147Z","Élevage de volailles","1","Culture et production animale, chasse et services annexes"
"fr_naf_025","0149Z","Élevage d'autres animaux","1","Culture et production animale, chasse et services annexes"
"fr_naf_026","0150Z","Culture et élevage associés","1","Culture et production animale, chasse et services annexes"
"fr_naf_027","0161Z","Activités de soutien aux cultures","1","Culture et production animale, chasse et services annexes"
"fr_naf_028","0162Z","Activités de soutien à la production animale","1","Culture et production animale, chasse et services annexes"
"fr_naf_029","0163Z","Traitement primaire des récoltes","1","Culture et production animale, chasse et services annexes"
"fr_naf_030","0164Z","Traitement des semences","1","Culture et production animale, chasse et services annexes"
"fr_naf_031","0170Z","Chasse, piégeage et services annexes","1","Culture et production animale, chasse et services annexes"
"fr_naf_032","0210Z","Sylviculture et autres activités forestières","2","Sylviculture et exploitation forestière"
"fr_naf_033","0220Z","Exploitation forestière","2","Sylviculture et exploitation forestière"
"fr_naf_034","0230Z","Récolte de produits forestiers non ligneux poussant à l'état sauvage","2","Sylviculture et exploitation forestière"
"fr_naf_035","0240Z","Services de soutien à l'exploitation forestière","2","Sylviculture et exploitation forestière"
"fr_naf_036","0311Z","Pêche en mer","3","Pêche et aquaculture"
"fr_naf_037","0312Z","Pêche en eau douce","3","Pêche et aquaculture"
"fr_naf_038","0321Z","Aquaculture en mer","3","Pêche et aquaculture"
"fr_naf_039","0322Z","Aquaculture en eau douce","3","Pêche et aquaculture"
"fr_naf_040","0510Z","Extraction de houille","5","Extraction de houille et de lignite"
"fr_naf_041","0520Z","Extraction de lignite","5","Extraction de houille et de lignite"
"fr_naf_042","0610Z","Extraction de pétrole brut","6","Extraction d'hydrocarbures"
"fr_naf_043","0620Z","Extraction de gaz naturel","6","Extraction d'hydrocarbures"
"fr_naf_044","0710Z","Extraction de minerais de fer","7","Extraction de minerais métalliques"
"fr_naf_045","0721Z","Extraction de minerais d'uranium et de thorium","7","Extraction de minerais métalliques"
"fr_naf_046","0729Z","Extraction d'autres minerais de métaux non ferreux","7","Extraction de minerais métalliques"
"fr_naf_047","0811Z","Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","8","Autres industries extractives"
"fr_naf_048","0812Z","Exploitation de gravières et sablières, extraction d’argiles et de kaolin","8","Autres industries extractives"
"fr_naf_049","0891Z","Extraction des minéraux chimiques et d'engrais minéraux","8","Autres industries extractives"
"fr_naf_050","0892Z","Extraction de tourbe","8","Autres industries extractives"
"fr_naf_051","0893Z","Production de sel","8","Autres industries extractives"
"fr_naf_052","0899Z","Autres activités extractives nca","8","Autres industries extractives"
"fr_naf_053","0910Z","Activités de soutien à l'extraction d'hydrocarbures","9","Services de soutien aux industries extractives"
"fr_naf_054","0990Z","Activités de soutien aux autres industries extractives","9","Services de soutien aux industries extractives"
"fr_naf_055","1011Z","Transformation et conservation de la viande de boucherie","10","Industries alimentaires"
"fr_naf_056","1011Z","Transformation et conservation de la viande de boucherie","10","Industries alimentaires"
"fr_naf_057","1012Z","Transformation et conservation de la viande de volaille","10","Industries alimentaires"
"fr_naf_058","1013A","Préparation industrielle de produits à base de viande","10","Industries alimentaires"
"fr_naf_059","1013B","Charcuterie","10","Industries alimentaires"
"fr_naf_060","1020Z","Transformation et conservation de poisson, de crustacés et de mollusques","10","Industries alimentaires"
"fr_naf_061","1031Z","Transformation et conservation de pommes de terre","10","Industries alimentaires"
"fr_naf_062","1032Z","Préparation de jus de fruits et légumes","10","Industries alimentaires"
"fr_naf_063","1039A","Autre transformation et conservation de légumes","10","Industries alimentaires"
"fr_naf_064","1039B","Transformation et conservation de fruits","10","Industries alimentaires"
