"id","resistance"
"resistance_thermique_4",4
"resistance_thermique_4_5",4.5
"resistance_thermique_5",5
"resistance_thermique_5_5",5.5
"resistance_thermique_6",6
"resistance_thermique_6_5",6.5
"resistance_thermique_7",7
"resistance_thermique_7_5",7.5
"resistance_thermique_8",8
"resistance_thermique_8_5",8.5
"resistance_thermique_9",9
"resistance_thermique_9_5",9.5
"resistance_thermique_10",10
"resistance_thermique_10_5",10.5
"resistance_thermique_11",11
"resistance_thermique_11_5",11.5
"resistance_thermique_12",12
